episode,timestep,reward
4,2000,1.5
11,4000,2.0
15,6000,1.5
21,8000,2.0
26,10000,2.0
30,12000,2.0
39,14000,2.0
52,16000,2.0
59,18000,2.0
70,20000,2.0
78,22000,2.0
81,24000,2.0
87,26000,2.0
95,28000,2.0
99,30000,1.5
105,32000,2.0
113,34000,2.0
118,36000,2.0
134,38000,2.0
145,40000,2.0
150,42000,2.0
156,44000,2.0
162,46000,2.0
168,48000,2.0
180,50000,2.0
191,52000,2.0
199,54000,2.0
209,56000,2.0
216,58000,2.0
222,60000,2.0
225,62000,1.3333
232,64000,2.0
237,66000,2.0
246,68000,2.0
252,70000,2.0
260,72000,2.0
264,74000,2.0
271,76000,2.0
282,78000,2.0
288,80000,2.0
293,82000,1.6
300,84000,2.0
313,86000,2.0
323,88000,2.0
337,90000,2.0
352,92000,2.0
366,94000,2.0
371,96000,2.0
381,98000,1.8
387,100000,1.6667
399,102000,2.0
409,104000,2.0
416,106000,2.0
426,108000,2.0
433,110000,2.0
444,112000,2.0
449,114000,2.0
462,116000,1.8462
470,118000,2.0
484,120000,2.0
490,122000,2.0
499,124000,1.7778
508,126000,1.7778
514,128000,2.0
532,130000,1.8889
536,132000,1.5
546,134000,2.0
554,136000,2.0
563,138000,2.0
574,140000,2.0
580,142000,2.0
588,144000,2.0
594,146000,2.0
611,148000,2.0
621,150000,2.0
627,152000,2.0
641,154000,2.0
651,156000,1.8
657,158000,2.0
670,160000,2.0
676,162000,1.6667
687,164000,2.0
701,166000,2.0
712,168000,2.0
726,170000,2.0
734,172000,2.0
743,174000,2.0
755,176000,2.0
763,178000,2.0
773,180000,2.0
783,182000,2.0
791,184000,1.75
797,186000,2.0
809,188000,2.0
821,190000,2.0
829,192000,1.75
837,194000,1.75
846,196000,2.0
857,198000,2.0
870,200000,2.0
884,202000,2.0
894,204000,2.0
905,206000,2.0
910,208000,2.0
920,210000,2.0
926,212000,2.0
934,214000,2.0
943,216000,2.0
950,218000,2.0
958,220000,1.75
967,222000,2.0
975,224000,2.0
986,226000,2.0
995,228000,2.0
1009,230000,2.0
1017,232000,2.0
1035,234000,2.0
1046,236000,2.0
1056,238000,2.0
1070,240000,2.0
1080,242000,2.0
1095,244000,2.0
1109,246000,2.0
1119,248000,2.0
1129,250000,2.0
1137,252000,2.0
1145,254000,2.0
1156,256000,2.0
1164,258000,2.0
1173,260000,2.0
1188,262000,2.0
1201,264000,2.0
1211,266000,2.0
1228,268000,2.0
1248,270000,2.0
1263,272000,2.0
1280,274000,2.0
1295,276000,2.0
1316,278000,2.0
1328,280000,2.0
1340,282000,2.0
1350,284000,2.0
1364,286000,2.0
1378,288000,2.0
1393,290000,2.0
1408,292000,2.0
1422,294000,2.0
1431,296000,2.0
